name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;181;0;366;3073;1713;3073;1459;0
header;167;182;167;217;1793;217;1793;182
A;1177;51;1177;55;1179;55;1179;51
A;293;69;293;70;294;70;294;69
A;466;135;466;137;468;137;468;135
A;972;249;972;271;994;271;994;249
B;1100;661;1100;679;1114;679;1114;661
A;666;810;666;821;672;821;672;810
C;1130;890;1130;909;1145;909;1145;890
B;970;920;970;947;990;947;990;920
A;463;1007;463;1008;465;1008;465;1007
B;1001;1298;1001;1316;1015;1316;1015;1298
B;941;1356;941;1368;948;1368;948;1356
A;1020;1417;1020;1418;1022;1418;1022;1417
C;961;1582;961;1613;983;1613;983;1582
D;770;1753;770;1772;784;1772;784;1753
A;1511;2020;1511;2022;1514;2022;1514;2020
A;634;2059;634;2060;634;2060;634;2059
B;1458;2169;1458;2188;1473;2188;1473;2169
D;957;2251;957;2281;982;2281;982;2251
B;577;2805;577;2823;591;2823;591;2805
A;1176;2974;1176;2976;1179;2976;1179;2974
A;1136;2980;1136;2982;1136;2982;1136;2980
