name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;966;0;966;3079;1808;3079;1808;0
header;183;133;183;175;1808;175;1808;133
A;987;196;987;223;1010;223;1010;196
A;1796;329;1796;354;1811;354;1811;329
A;1800;438;1800;440;1801;440;1801;438
A;1026;701;1026;716;1033;716;1033;701
A;1165;746;1165;761;1173;761;1173;746
D;986;871;986;906;1009;906;1009;871
A;1711;962;1711;986;1724;986;1724;962
A;1139;1431;1139;1446;1147;1446;1147;1431
A;1672;1431;1672;1445;1680;1445;1680;1431
D;980;2200;980;2228;1000;2228;1000;2200
A;1158;2299;1158;2324;1172;2324;1172;2299
A;1795;2435;1795;2459;1809;2459;1809;2435
B;1569;2572;1569;2599;1602;2599;1602;2572
A;1687;2572;1687;2596;1701;2596;1701;2572
